Timestamp;Entity Name;Accelerom. vector X;Accelerom. vector Y;Accelerom. vector Z;CO2;Color Temp.;Light data ALL;Light_Blue;Light_Green;Light_Red;Light_White;NO2;PM2.5;RH;T
2025-03-28 14:14:41;DS-0018;1012;-3;-407.1999817;515;18588;249.9056702;2776;7941;9077;40129;15.82;17.10746765;32.48291016;19.29786682
2025-03-28 14:14:43;DS-0013;245.6000061;-731.1999512;-585.5999756;440.5;41084;364.5710449;5713;11586;13828;51684;13.48;16.83573341;26.55181885;21.69578552
2025-03-28 14:14:44;DS-0012;898.2000122;-217.1999969;-605.7999878;334;21211;205.1820984;2120;6520;8107;34533;15.14;15.11299896;28.855896;20.39535522
2025-03-28 14:14:44;DS-0017;-226.6000061;17.39999962;-1151.599976;418.5;18128;705.767395;14598;22431;23447;60098;23.74;18.84231567;27.68859863;21.47815704
2025-03-28 14:14:47;DS-0016;-890.4000244;137.2000122;-471.2000122;417.5;27635;317.9851074;3776;10105;12984;45473;20.66;15.82451248;30.08804321;20.15102386
2025-03-28 14:14:47;DS-0019;703.4000244;-814.7999878;452.7999878;442.5;45314;954.5907593;15229;30341;36170;62030;25.01;15.90323448;29.43954468;20.62099457
2025-03-28 14:14:48;DS-0015;27.40000153;-981.5999756;150.2000122;422;53882;88.50326538;849;2812;2936;16533;9.75;14.55784798;26.3999939;22.65708923
2025-03-28 14:14:51;DS-0014;-120.1999969;-1075.400024;57.79999924;435;26002;76.29051208;251;2422;3075;21190;18.89;18.41704178;25.01983643;23.21250916
2025-03-28 14:14:51;DS-0018;1037.800049;-190;218;497.5;31654;138.3862457;1487;4396;4795;24887;18.27;17.14232063;32.53631592;19.2457962
2025-03-28 14:14:54;DS-0012;1023.199951;-58.80000305;-407.1999817;381.5;23516;159.640625;1389;4931;6170;30035;15.57;14.87619972;28.97491455;20.3673172
2025-03-28 14:14:55;DS-0017;-384;78.59999847;-796.7999878;417.5;24021;482.9487305;6723;15350;18076;57895;23.12;18.32532501;27.79541016;21.46614075
2025-03-28 14:14:57;DS-0016;-820.3999634;85.19999695;-416.6000061;401.5;36676;416.4360046;5266;13235;17344;57187;19.34;16.52680397;30.2230835;20.12832642
2025-03-28 14:14:57;DS-0019;700.7999878;-800.2000122;452;474;28458;1031.957275;22705;32801;35195;58461;22.62;15.67270565;29.56848145;20.62633514
2025-03-28 14:14:58;DS-0013;251.6000061;-685.1999512;-723.8000488;439.5;26262;362.1297607;5615;11509;13917;51952;9.5;16.42432213;26.73187256;21.64772034
2025-03-28 14:14:59;DS-0015;-47.79999924;-1004;172.1999969;422.5;43451;94.75752258;974;3010;3136;17075;8.49;14.67008114;26.51977539;22.74520874
2025-03-28 14:15:01;DS-0018;890.2000122;-186.6000061;108.8000031;498.5;37091;156.1989136;1729;4962;5290;30103;13.89;16.79260254;32.95898438;19.26315308
2025-03-28 14:15:04;DS-0012;891.2000122;-288.3999939;-574.4000244;414.5;33122;166.152832;1740;5280;6576;28725;13.13;14.80559158;29.08554077;20.33660889
2025-03-28 14:15:05;DS-0017;-824;592.4000244;231.1999969;419;51910;506.808075;6781;16108;20153;53817;20.96;17.82559013;27.90374756;21.35799408
2025-03-28 14:15:06;DS-0014;-127.3999939;-979.2000122;177.1999969;497;38980;81.82746124;38;2598;3101;24288;12.7;18.05989456;25.0793457;23.40076447
2025-03-28 14:15:07;DS-0016;-949.8000488;291.3999939;-363.3999939;373;25405;589.7176514;7476;18742;24539;65533;18.46;17.10367393;30.43746948;20.0762558
2025-03-28 14:15:08;DS-0013;314.6000061;-649.5999756;-679;440;28715;365.4581909;5506;11615;14174;54161;13.21;16.34292984;26.99737549;21.63970947
2025-03-28 14:15:08;DS-0019;706;-748.1999512;379;483;26798;1255.511963;26108;39906;44609;58107;16.05;16.43035889;29.43344116;20.63835144
2025-03-28 14:15:09;DS-0015;21.79999924;-1240.800049;311.7999878;422.5;26954;149.6363373;1658;4754;4862;20585;5.99;14.91324711;26.56478882;22.81864166
2025-03-28 14:15:12;DS-0018;1103;-347.7999878;413.2000122;499;51101;165.7061157;1932;5266;5794;28868;10.9;16.02282524;33.16802979;19.24446106
2025-03-28 14:15:16;DS-0014;-1;-972.7999878;110.3999939;554;25733;66.0219574;195;2097;2729;19515;13.1;18.20000267;25.13504028;23.35536957
2025-03-28 14:15:17;DS-0016;-949.5999756;348.2000122;-337.4000244;367.5;41388;503.7815552;6571;16012;20901;59260;18.58;17.6737442;30.46875;20.04554749
2025-03-28 14:15:18;DS-0019;662;-790.8000488;404.3999939;536;32972;1569.130371;28846;49875;53873;65533;25.19;16.88396835;29.25415039;20.58361053
2025-03-28 14:15:19;DS-0012;875.2000122;-200.4000092;-663.7999878;444.5;37232;215.8847961;2284;6860;8540;35663;13.99;13.84930038;29.2678833;20.29788971
2025-03-28 14:15:19;DS-0013;277.3999939;-616.7999878;-559.2000122;440.5;39110;356.5928345;5463;11331;13782;53408;15.49;16.69098473;27.00805664;21.6103363
2025-03-28 14:15:19;DS-0015;108.6000061;-794.7999878;21;420.5;39287;216.8537903;1527;6891;6677;29346;7.44;15.4509058;26.4541626;22.89073944
2025-03-28 14:15:20;DS-0017;-761.2000122;561;294.7999878;420.5;38730;721.2456665;9629;22924;28849;65533;22.11;17.90520287;28.16925049;20.9828186
2025-03-28 14:15:22;DS-0018;1013.799988;-245.1999969;444.1999817;498.5;19565;159.0932007;1776;5055;5588;28661;14.53;15.92817783;33.14437866;19.29252625
2025-03-28 14:15:26;DS-0014;39.19999695;-993.2000122;142.1999969;519.5;35407;80.61310577;252;2560;3485;23927;7.15;18.28011322;25.03433228;23.39141846
2025-03-28 14:15:27;DS-0016;-747;19.60000229;-562;362;33769;387.8325806;4748;12326;15877;47881;16.21;17.3944931;30.42984009;20.03219604
2025-03-28 14:15:28;DS-0019;651;-791.2000122;383;438.5;46510;1134.579834;23403;36062;42037;65533;16.53;16.65439224;29.16107178;20.58361053
2025-03-28 14:15:29;DS-0012;839.2000122;-261.6000061;-647.2000122;442;42438;204.5277405;1882;6499;7964;37143;9.93;13.24990654;29.26483154;20.27252197
2025-03-28 14:15:29;DS-0013;354.1999817;-865.4000244;-755.3999634;438;31870;355.0198364;5398;11282;13647;53554;7.95;15.93162537;27.07366943;21.59030914
2025-03-28 14:15:29;DS-0015;132.1999969;-1017.800049;298.6000061;420.5;29626;183.7075195;1623;5836;5986;25905;3.91;15.74069214;26.35269165;22.99087524
